i_sorted,j_sorted,i_original,j_original,d_i,d_j,abs_gap,abs_Aij,coupling_over_gap,relation
2,32,2,31,-39.30943287653902,-38.8498870979776,0.45954577856142009,0.0033517039708812566,0.0072935148732593312,boundary_around_k
2,33,2,33,-39.30943287653902,-38.554923411530481,0.75450946500853888,0,0,boundary_around_k
2,34,2,34,-39.30943287653902,-38.55492341153046,0.7545094650085602,0.0022368568734181461,0.0029646505142155747,boundary_around_k
2,35,2,35,-39.30943287653902,-38.550977098652851,0.75845577788616936,0,0,boundary_around_k
2,36,2,36,-39.30943287653902,-38.550977098652851,0.75845577788616936,0.0038066805783503396,0.0050189881722038305,boundary_around_k
2,37,2,38,-39.30943287653902,-38.54465348332868,0.76477939321033972,0,0,boundary_around_k
2,38,2,37,-39.30943287653902,-38.544653483328673,0.76477939321034683,0,0,boundary_around_k
2,39,2,39,-39.30943287653902,-38.542596000718476,0.76683687582054461,0,0,boundary_around_k
2,40,2,40,-39.30943287653902,-38.54259600071844,0.76683687582058013,0,0,outside_candidate
2,41,2,41,-39.30943287653902,-38.535240611890295,0.77419226464872537,0.0032869881834785915,0.0042457001103853682,outside_candidate
2,42,2,42,-39.30943287653902,-38.535240611890295,0.77419226464872537,0,0,outside_candidate
2,43,2,43,-39.30943287653902,-38.534816247467923,0.77461662907109741,0,0,outside_candidate
2,44,2,44,-39.30943287653902,-38.534816247467916,0.77461662907110451,0.01681721737391003,0.021710374839327553,outside_candidate
2,45,2,46,-39.30943287653902,-38.533618953666618,0.77581392287240192,5.7289086863185346e-05,7.3843849890030495e-05,outside_candidate
2,46,2,45,-39.30943287653902,-38.53361895366659,0.77581392287243034,0,0,outside_candidate
2,47,2,48,-39.30943287653902,-38.524052346743474,0.78538052979554607,0.0022368568734181661,0.0028481185725351189,outside_candidate
2,48,2,47,-39.30943287653902,-38.524052346743467,0.78538052979555317,0,0,outside_candidate
2,49,2,50,-39.30943287653902,-38.523632256885385,0.78580061965363512,0.0032869881834785928,0.0041829798822599941,outside_candidate
2,50,2,49,-39.30943287653902,-38.523632256885378,0.78580061965364223,0,0,outside_candidate
2,51,2,51,-39.30943287653902,-38.523208436758658,0.78622443978036216,0,0,outside_candidate
2,52,2,52,-39.30943287653902,-38.523208436758608,0.7862244397804119,0.0089268615758829328,0.01135408812574709,outside_candidate
2,53,2,53,-39.30943287653902,-38.518048551255639,0.79138432528338143,0,0,outside_candidate
2,54,2,54,-39.30943287653902,-38.518048551255639,0.79138432528338143,0.0038066805783500725,0.0048101541270569948,outside_candidate
2,55,2,56,-39.30943287653902,-38.516905789642834,0.79252708689618601,0.026544473430586406,0.033493458923333295,outside_candidate
2,56,2,55,-39.30943287653902,-38.51690578964282,0.79252708689620022,0,0,outside_candidate
2,57,2,58,-39.30943287653902,-38.515389665287053,0.79404321125196731,0,0,outside_candidate
2,58,2,57,-39.30943287653902,-38.515389665287046,0.79404321125197441,0.0026239375755860309,0.0033045274342801156,outside_candidate
2,59,2,59,-39.30943287653902,-38.511524460429108,0.79790841610991237,0,0,outside_candidate
2,60,2,60,-39.30943287653902,-38.511524460429087,0.79790841610993368,0.010421556960324147,0.013061094168090957,outside_candidate
2,61,2,61,-39.30943287653902,-38.509119151636938,0.80031372490208241,0.0061681347288562978,0.0077071460065375776,outside_candidate
2,62,2,62,-39.30943287653902,-38.509119151636924,0.80031372490209662,0.018494527919214222,0.023109097524819634,outside_candidate
2,63,2,63,-39.30943287653902,-38.505838792892362,0.80359408364665796,0,0,outside_candidate
2,64,2,64,-39.30943287653902,-38.505838792892334,0.80359408364668639,0.0026239375755860769,0.0032652524813009138,outside_candidate
2,65,2,65,-39.30943287653902,-38.505450543172927,0.80398233336609337,0,0,outside_candidate
2,66,2,66,-39.30943287653902,-38.505450543172927,0.80398233336609337,0,0,outside_candidate
2,67,2,67,-39.30943287653902,-38.505185035088573,0.80424784145044725,0,0,outside_candidate
2,68,2,68,-39.30943287653902,-38.505185035088566,0.80424784145045436,0.0054004930109495756,0.0067149611507938039,outside_candidate
2,69,2,69,-39.30943287653902,-38.504728618791212,0.80470425774780807,0,0,outside_candidate
